Blocks,Age,Faults,Time,Result,Output
376,3,0,13848,0.041,0
207,4,20,7536,0.026,0
377,3,0,13737,0.041,0
340,7,3,12630,0.133,1
377,2,0,14802,0.024,0
378,0,0,14150,0.005,0
378,1,0,14050,0.012,0
376,6,0,14134,0.121,0
376,4,0,13848,0.063,0
207,5,20,7536,0.038,0
377,4,0,13737,0.063,0
341,0,3,12659,0.004,0
377,3,0,14802,0.041,0
378,1,0,14150,0.012,0
378,2,0,14050,0.024,0
376,7,0,14134,0.157,1
376,5,0,13848,0.09,0
207,6,20,7536,0.051,0
377,5,0,13737,0.089,0
341,1,3,12659,0.01,0
377,4,0,14802,0.062,0
378,2,0,14150,0.024,0
378,3,0,14050,0.041,0
377,0,0,14175,0.005,0
376,6,0,13848,0.121,1
207,7,20,7536,0.066,0
377,6,0,13737,0.121,1
341,2,3,12659,0.02,0
377,5,0,14802,0.089,0
378,3,0,14150,0.041,0
378,4,0,14050,0.063,0
377,1,0,14175,0.012,0
377,0,0,13888,0.005,0
207,8,20,7536,0.084,0
378,0,0,13804,0.005,0
341,3,3,12659,0.035,0
377,6,0,14802,0.12,1
378,4,0,14150,0.063,0
378,5,0,14050,0.089,0
377,2,0,14175,0.024,0
377,1,0,13888,0.012,0
207,9,20,7536,0.103,0
378,1,0,13804,0.012,0
341,4,3,12659,0.053,0
378,0,0,14829,0.005,0
378,5,0,14150,0.089,0
378,6,0,14050,0.12,0
377,3,0,14175,0.041,0
377,2,0,13888,0.024,0
207,10,20,7536,0.125,1
378,2,0,13804,0.024,0
341,5,3,12659,0.075,0
378,1,0,14829,0.012,0
378,6,0,14150,0.12,0
378,7,0,14050,0.157,1
377,4,0,14175,0.063,0
377,3,0,13888,0.041,0
208,0,20,7570,0.002,0
378,3,0,13804,0.041,0
341,6,3,12659,0.102,0
378,2,0,14829,0.024,0
378,7,0,14150,0.156,1
379,0,0,14087,0.005,0
377,5,0,14175,0.089,0
377,4,0,13888,0.063,0
208,1,20,7570,0.005,0
378,4,0,13804,0.063,0
341,7,3,12659,0.133,1
378,3,0,14829,0.041,0
379,0,0,14210,0.005,0
379,1,0,14087,0.012,0
377,6,0,14175,0.121,0
377,5,0,13888,0.089,0
208,2,20,7570,0.01,0
378,5,0,13804,0.089,0
342,0,3,12691,0.004,0
378,4,0,14829,0.062,0
379,1,0,14210,0.012,0
379,2,0,14087,0.024,0
377,7,0,14175,0.157,1
377,6,0,13888,0.121,0
208,3,20,7570,0.017,0
378,6,0,13804,0.121,0
342,1,3,12691,0.01,0
378,5,0,14829,0.089,0
379,2,0,14210,0.024,0
379,3,0,14087,0.041,0
378,0,0,14209,0.005,0
377,7,0,13888,0.157,1
208,4,20,7570,0.026,0
378,7,0,13804,0.157,1
342,2,3,12691,0.02,0
378,6,0,14829,0.12,0
379,3,0,14210,0.041,0
379,4,0,14087,0.062,0
378,1,0,14209,0.012,0
378,0,0,13923,0.005,0
208,5,20,7570,0.038,0
379,0,0,13818,0.005,0
342,3,3,12691,0.034,0
378,7,0,14829,0.156,1
379,4,0,14210,0.062,0
379,5,0,14087,0.089,0
378,2,0,14209,0.024,0
378,1,0,13923,0.012,0
208,6,20,7570,0.051,0
379,1,0,13818,0.012,0
342,4,3,12691,0.053,0
379,0,0,14864,0.005,0
379,5,0,14210,0.089,0
379,6,0,14087,0.12,1
378,3,0,14209,0.041,0
378,2,0,13923,0.024,0
208,7,20,7570,0.066,0
379,2,0,13818,0.024,0
342,5,3,12691,0.075,0
379,1,0,14864,0.012,0
379,6,0,14210,0.12,1
380,0,0,14130,0.005,0
378,4,0,14209,0.063,0
378,3,0,13923,0.041,0
208,8,20,7570,0.084,0
379,3,0,13818,0.041,0
342,6,3,12691,0.102,0
379,2,0,14864,0.024,0
380,0,0,14222,0.005,0
380,1,0,14130,0.012,0
378,5,0,14209,0.089,0
378,4,0,13923,0.063,0
208,9,20,7570,0.103,1
379,4,0,13818,0.063,0
342,7,3,12691,0.132,1
379,3,0,14864,0.041,0
380,1,0,14222,0.012,0
380,2,0,14130,0.024,0
378,6,0,14209,0.12,0
378,5,0,13923,0.089,0
209,0,20,7595,0.002,0
379,5,0,13818,0.089,0
343,0,3,12714,0.004,0
379,4,0,14864,0.062,0
380,2,0,14222,0.024,0
380,3,0,14130,0.041,0
378,7,0,14209,0.156,1
378,6,0,13923,0.121,0
209,1,20,7595,0.005,0
379,6,0,13818,0.12,0
343,1,3,12714,0.01,0
379,5,0,14864,0.088,0
380,3,0,14222,0.041,0
380,4,0,14130,0.062,0
379,0,0,14247,0.005,0
378,7,0,13923,0.157,1
209,2,20,7595,0.01,0
379,7,0,13818,0.156,1
343,2,3,12714,0.02,0
379,6,0,14864,0.12,0
380,4,0,14222,0.062,0
380,5,0,14130,0.089,0
379,1,0,14247,0.012,0
379,0,0,13989,0.005,0
209,3,20,7595,0.017,0
380,0,0,13850,0.005,0
343,3,3,12714,0.034,0
379,7,0,14864,0.155,1
380,5,0,14222,0.089,0
380,6,0,14130,0.12,0
379,2,0,14247,0.024,0
379,1,0,13989,0.012,0
209,4,20,7595,0.026,0
380,1,0,13850,0.012,0
343,4,3,12714,0.053,0
380,0,0,14916,0.005,0
380,6,0,14222,0.12,0
380,7,0,14130,0.156,1
379,3,0,14247,0.041,0
379,2,0,13989,0.024,0
209,5,20,7595,0.038,0
380,2,0,13850,0.024,0
343,5,3,12714,0.075,0
380,1,0,14916,0.012,0
380,7,0,14222,0.156,1
381,0,0,14150,0.005,0
379,4,0,14247,0.062,0
379,3,0,13989,0.041,0
209,6,20,7595,0.051,0
380,3,0,13850,0.041,0
343,6,3,12714,0.102,1
380,2,0,14916,0.024,0
381,0,0,14231,0.005,0
381,1,0,14150,0.012,0
379,5,0,14247,0.089,0
379,4,0,13989,0.063,0
209,7,20,7595,0.066,0
380,4,0,13850,0.062,0
344,0,3,12776,0.004,0
380,3,0,14916,0.041,0
381,1,0,14231,0.012,0
381,2,0,14150,0.024,0
379,6,0,14247,0.12,1
379,5,0,13989,0.089,0
209,8,20,7595,0.084,0
380,5,0,13850,0.089,0
344,1,3,12776,0.01,0
380,4,0,14916,0.062,0
381,2,0,14231,0.024,0
381,3,0,14150,0.041,0
380,0,0,14313,0.005,0
379,6,0,13989,0.12,1
209,9,20,7595,0.103,0
380,6,0,13850,0.12,0
344,2,3,12776,0.02,0
380,5,0,14916,0.088,0
381,3,0,14231,0.041,0
381,4,0,14150,0.062,0
380,1,0,14313,0.012,0
380,0,0,14062,0.005,0
209,10,20,7595,0.125,1
380,7,0,13850,0.156,1
344,3,3,12776,0.034,0
380,6,0,14916,0.119,0
381,4,0,14231,0.062,0
381,5,0,14150,0.088,0
380,2,0,14313,0.024,0
380,1,0,14062,0.012,0
210,0,20,7659,0.002,0
381,0,0,13889,0.005,0
344,4,3,12776,0.053,0
380,7,0,14916,0.155,1
381,5,0,14231,0.088,0
381,6,0,14150,0.12,0
380,3,0,14313,0.041,0
380,2,0,14062,0.024,0
210,1,20,7659,0.005,0
381,1,0,13889,0.012,0
344,5,3,12776,0.075,0
381,0,0,14943,0.005,0
381,6,0,14231,0.12,0
381,7,0,14150,0.155,1
380,4,0,14313,0.062,0
380,3,0,14062,0.041,0
210,2,20,7659,0.01,0
381,2,0,13889,0.024,0
344,6,3,12776,0.101,0
381,1,0,14943,0.012,0
381,7,0,14231,0.155,1
382,0,0,14176,0.005,0
380,5,0,14313,0.089,0
380,4,0,14062,0.062,0
210,3,20,7659,0.017,0
381,3,0,13889,0.041,0
344,7,3,12776,0.132,1
381,2,0,14943,0.024,0
382,0,0,14308,0.005,0
382,1,0,14176,0.012,0
380,6,0,14313,0.12,0
380,5,0,14062,0.089,0
210,4,20,7659,0.026,0
381,4,0,13889,0.062,0
345,0,3,12841,0.004,0
381,3,0,14943,0.04,0
382,1,0,14308,0.012,0
382,2,0,14176,0.024,0
380,7,0,14313,0.156,1
380,6,0,14062,0.12,0
210,5,20,7659,0.037,0
381,5,0,13889,0.089,0
345,1,3,12841,0.01,0
381,4,0,14943,0.062,0
382,2,0,14308,0.024,0
382,3,0,14176,0.041,0
381,0,0,14349,0.005,0
380,7,0,14062,0.156,1
210,6,20,7659,0.051,0
381,6,0,13889,0.12,1
345,2,3,12841,0.02,0
381,5,0,14943,0.088,0
382,3,0,14308,0.041,0
382,4,0,14176,0.062,0
381,1,0,14349,0.012,0
381,0,0,14123,0.005,0
210,7,20,7659,0.066,0
382,0,0,13911,0.005,0
345,3,3,12841,0.034,0
381,6,0,14943,0.119,1
382,4,0,14308,0.062,0
382,5,0,14176,0.088,0
381,2,0,14349,0.024,0
381,1,0,14123,0.012,0
210,8,20,7659,0.084,0
382,1,0,13911,0.012,0
345,4,3,12841,0.052,0
382,0,0,14983,0.005,0
382,5,0,14308,0.088,0
382,6,0,14176,0.119,1
381,3,0,14349,0.041,0
381,2,0,14123,0.024,0
210,9,20,7659,0.103,0
382,2,0,13911,0.024,0
345,5,3,12841,0.075,0
382,1,0,14983,0.012,0
382,6,0,14308,0.119,0
383,0,0,14202,0.005,0
381,4,0,14349,0.062,0
381,3,0,14123,0.041,0
210,10,20,7659,0.125,1
382,3,0,13911,0.041,0
345,6,3,12841,0.101,0
382,2,0,14983,0.024,0
382,7,0,14308,0.155,1
383,1,0,14202,0.012,0
381,5,0,14349,0.088,0
381,4,0,14123,0.062,0
211,0,20,7683,0.002,0
382,4,0,13911,0.062,0
345,7,3,12841,0.131,1
382,3,0,14983,0.04,0
383,0,0,14338,0.005,0
383,2,0,14202,0.024,0
381,6,0,14349,0.119,0
381,5,0,14123,0.088,0
211,1,20,7683,0.005,0
382,5,0,13911,0.088,0
346,0,3,12877,0.004,0
382,4,0,14983,0.062,0
383,1,0,14338,0.012,0
383,3,0,14202,0.04,0
381,7,0,14349,0.155,1
381,6,0,14123,0.12,0
211,2,20,7683,0.01,0
382,6,0,13911,0.119,0
346,1,3,12877,0.01,0
382,5,0,14983,0.088,0
383,2,0,14338,0.024,0
383,4,0,14202,0.062,0
382,0,0,14389,0.005,0
381,7,0,14123,0.155,1
211,3,20,7683,0.017,0
382,7,0,13911,0.155,1
346,2,3,12877,0.02,0
382,6,0,14983,0.119,0
383,3,0,14338,0.04,0
383,5,0,14202,0.088,0
382,1,0,14389,0.012,0
382,0,0,14147,0.005,0
211,4,20,7683,0.026,0
383,0,0,13953,0.005,0
346,3,3,12877,0.034,0
382,7,0,14983,0.154,1
383,4,0,14338,0.062,0
383,6,0,14202,0.119,0
382,2,0,14389,0.024,0
382,1,0,14147,0.012,0
211,5,20,7683,0.037,0
383,1,0,13953,0.012,0
346,4,3,12877,0.052,0
383,0,0,15024,0.005,0
383,5,0,14338,0.088,0
383,7,0,14202,0.155,1
382,3,0,14389,0.041,0
382,2,0,14147,0.024,0
211,6,20,7683,0.051,0
383,2,0,13953,0.024,0
346,5,3,12877,0.075,0
383,1,0,15024,0.012,0
383,6,0,14338,0.119,1
384,0,0,14242,0.005,0
382,4,0,14389,0.062,0
382,3,0,14147,0.041,0
211,7,20,7683,0.066,0
383,3,0,13953,0.041,0
346,6,3,12877,0.101,1
383,2,0,15024,0.024,0
384,0,0,14366,0.005,0
384,1,0,14242,0.012,0
382,5,0,14389,0.088,0
382,4,0,14147,0.062,0
211,8,20,7683,0.084,0
383,4,0,13953,0.062,0
347,0,3,12923,0.004,0
383,3,0,15024,0.04,0
384,1,0,14366,0.012,0
384,2,0,14242,0.024,0
382,6,0,14389,0.119,1
382,5,0,14147,0.088,0
211,9,20,7683,0.103,0
383,5,0,13953,0.088,0
347,1,3,12923,0.01,0
383,4,0,15024,0.062,0
384,2,0,14366,0.024,0
384,3,0,14242,0.04,0
383,0,0,14437,0.005,0
382,6,0,14147,0.119,0
211,10,20,7683,0.125,1
383,6,0,13953,0.119,0
347,2,3,12923,0.02,0
383,5,0,15024,0.088,0
384,3,0,14366,0.04,0
384,4,0,14242,0.062,0
383,1,0,14437,0.012,0
382,7,0,14147,0.155,1
212,0,20,7711,0.002,0
383,7,0,13953,0.155,1
347,3,3,12923,0.034,0
383,6,0,15024,0.118,0
384,4,0,14366,0.062,0
384,5,0,14242,0.088,0
383,2,0,14437,0.024,0
383,0,0,14169,0.005,0
212,1,20,7711,0.005,0
384,0,0,13981,0.005,0
347,4,3,12923,0.052,0
383,7,0,15024,0.154,1
384,5,0,14366,0.088,0
384,6,0,14242,0.119,0
383,3,0,14437,0.04,0
383,1,0,14169,0.012,0
212,2,20,7711,0.01,0
384,1,0,13981,0.012,0
347,5,3,12923,0.074,0
384,0,0,15111,0.005,0
384,6,0,14366,0.119,0
384,7,0,14242,0.154,1
383,4,0,14437,0.062,0
383,2,0,14169,0.024,0
212,3,20,7711,0.017,0
384,2,0,13981,0.024,0
347,6,3,12923,0.101,0
384,1,0,15111,0.012,0
384,7,0,14366,0.154,1
385,0,0,14281,0.005,0
383,5,0,14437,0.088,0
383,3,0,14169,0.04,0
212,4,20,7711,0.026,0
384,3,0,13981,0.04,0
347,7,3,12923,0.131,1
384,2,0,15111,0.024,0
385,0,0,14399,0.005,0
385,1,0,14281,0.012,0
383,6,0,14437,0.119,0
383,4,0,14169,0.062,0
212,5,20,7711,0.037,0
384,4,0,13981,0.062,0
348,0,3,12967,0.004,0
384,3,0,15111,0.04,0
385,1,0,14399,0.012,0
385,2,0,14281,0.024,0
383,7,0,14437,0.154,1
383,5,0,14169,0.088,0
212,6,20,7711,0.051,0
384,5,0,13981,0.088,0
348,1,3,12967,0.01,0
384,4,0,15111,0.061,0
385,2,0,14399,0.024,0
385,3,0,14281,0.04,0
384,0,0,14475,0.005,0
383,6,0,14169,0.119,1
212,7,20,7711,0.066,0
384,6,0,13981,0.119,1
348,2,3,12967,0.02,0
384,5,0,15111,0.087,0
385,3,0,14399,0.04,0
385,4,0,14281,0.062,0
384,1,0,14475,0.012,0
384,0,0,14201,0.005,0
212,8,20,7711,0.084,0
385,0,0,14009,0.005,0
348,3,3,12967,0.034,0
384,6,0,15111,0.118,1
385,4,0,14399,0.062,0
385,5,0,14281,0.088,0
384,2,0,14475,0.024,0
384,1,0,14201,0.012,0
212,9,20,7711,0.103,0
385,1,0,14009,0.012,0
348,4,3,12967,0.052,0
385,0,0,15138,0.005,0
385,5,0,14399,0.088,0
385,6,0,14281,0.118,0
384,3,0,14475,0.04,0
384,2,0,14201,0.024,0
212,10,20,7711,0.125,1
385,2,0,14009,0.024,0
348,5,3,12967,0.074,0
385,1,0,15138,0.012,0
385,6,0,14399,0.118,0
385,7,0,14281,0.154,1
384,4,0,14475,0.062,0
384,3,0,14201,0.04,0
213,0,20,7746,0.002,0
385,3,0,14009,0.04,0
348,6,3,12967,0.1,0
385,2,0,15138,0.024,0
385,7,0,14399,0.154,1
386,0,0,14318,0.005,0
384,5,0,14475,0.088,0
384,4,0,14201,0.062,0
213,1,20,7746,0.005,0
385,4,0,14009,0.062,0
348,7,3,12967,0.131,1
385,3,0,15138,0.04,0
386,0,0,14471,0.005,0
386,1,0,14318,0.012,0
384,6,0,14475,0.119,0
384,5,0,14201,0.088,0
213,2,20,7746,0.01,0
385,5,0,14009,0.088,0
349,0,3,13016,0.004,0
385,4,0,15138,0.061,0
386,1,0,14471,0.012,0
386,2,0,14318,0.024,0
384,7,0,14475,0.154,1
384,6,0,14201,0.119,0
213,3,20,7746,0.017,0
385,6,0,14009,0.119,0
349,1,3,13016,0.01,0
385,5,0,15138,0.087,0
386,2,0,14471,0.024,0
386,3,0,14318,0.04,0
385,0,0,14503,0.005,0
384,7,0,14201,0.154,1
213,4,20,7746,0.026,0
385,7,0,14009,0.154,1
349,2,3,13016,0.02,0
385,6,0,15138,0.118,0
386,3,0,14471,0.04,0
386,4,0,14318,0.061,0
385,1,0,14503,0.012,0
385,0,0,14249,0.005,0
213,5,20,7746,0.037,0
386,0,0,14029,0.005,0
349,3,3,13016,0.034,0
385,7,0,15138,0.153,1
386,4,0,14471,0.061,0
386,5,0,14318,0.087,0
385,2,0,14503,0.024,0
385,1,0,14249,0.012,0
213,6,20,7746,0.051,0
386,1,0,14029,0.012,0
349,4,3,13016,0.052,0
386,0,0,15164,0.005,0
386,5,0,14471,0.087,0
386,6,0,14318,0.118,1
385,3,0,14503,0.04,0
385,2,0,14249,0.024,0
213,7,20,7746,0.066,0
386,2,0,14029,0.024,0
349,5,3,13016,0.074,0
386,1,0,15164,0.012,0
386,6,0,14471,0.118,1
387,0,0,14350,0.005,0
385,4,0,14503,0.062,0
385,3,0,14249,0.04,0
213,8,20,7746,0.083,0
386,3,0,14029,0.04,0
349,6,3,13016,0.1,0
386,2,0,15164,0.024,0
387,0,0,14521,0.005,0
387,1,0,14350,0.012,0
385,5,0,14503,0.088,0
385,4,0,14249,0.062,0
213,9,20,7746,0.103,1
386,4,0,14029,0.062,0
349,7,3,13016,0.13,1
386,3,0,15164,0.04,0
387,1,0,14521,0.012,0
387,2,0,14350,0.024,0
385,6,0,14503,0.118,0
385,5,0,14249,0.088,0
214,0,20,7776,0.002,0
386,5,0,14029,0.088,0
350,0,3,13042,0.004,0
386,4,0,15164,0.061,0
387,2,0,14521,0.024,0
387,3,0,14350,0.04,0
385,7,0,14503,0.154,1
385,6,0,14249,0.118,0
214,1,20,7776,0.005,0
386,6,0,14029,0.118,0
350,1,3,13042,0.01,0
386,5,0,15164,0.087,0
387,3,0,14521,0.04,0
387,4,0,14350,0.061,0
386,0,0,14533,0.005,0
385,7,0,14249,0.154,1
214,2,20,7776,0.01,0
386,7,0,14029,0.154,1
350,2,3,13042,0.02,0
386,6,0,15164,0.118,0
387,4,0,14521,0.061,0
387,5,0,14350,0.087,0
386,1,0,14533,0.012,0
386,0,0,14257,0.005,0
214,3,20,7776,0.017,0
387,0,0,14080,0.005,0
350,3,3,13042,0.034,0
386,7,0,15164,0.153,1
387,5,0,14521,0.087,0
387,6,0,14350,0.118,0
386,2,0,14533,0.024,0
386,1,0,14257,0.012,0
214,4,20,7776,0.026,0
387,1,0,14080,0.012,0
350,4,3,13042,0.052,0
387,0,0,15195,0.005,0
387,6,0,14521,0.118,0
387,7,0,14350,0.153,1
386,3,0,14533,0.04,0
386,2,0,14257,0.024,0
214,5,20,7776,0.037,0
387,2,0,14080,0.024,0
350,5,3,13042,0.074,0
387,1,0,15195,0.012,0
387,7,0,14521,0.153,1
388,0,0,14364,0.005,0
386,4,0,14533,0.061,0
386,3,0,14257,0.04,0
214,6,20,7776,0.051,0
387,3,0,14080,0.04,0
350,6,3,13042,0.1,1
387,2,0,15195,0.023,0
388,0,0,14561,0.005,0
388,1,0,14364,0.012,0
386,5,0,14533,0.087,0
386,4,0,14257,0.061,0
214,7,20,7776,0.066,0
387,4,0,14080,0.061,0
351,0,3,13063,0.004,0
387,3,0,15195,0.04,0
388,1,0,14561,0.012,0
388,2,0,14364,0.024,0
386,6,0,14533,0.118,1
386,5,0,14257,0.087,0
214,8,20,7776,0.083,0
387,5,0,14080,0.087,0
351,1,3,13063,0.01,0
387,4,0,15195,0.061,0
388,2,0,14561,0.024,0
388,3,0,14364,0.04,0
387,0,0,14596,0.005,0
386,6,0,14257,0.118,1
214,9,20,7776,0.103,0
387,6,0,14080,0.118,0
351,2,3,13063,0.02,0
387,5,0,15195,0.087,0
388,3,0,14561,0.04,0
388,4,0,14364,0.061,0
387,1,0,14596,0.012,0
387,0,0,14301,0.005,0
214,10,20,7776,0.124,1
387,7,0,14080,0.154,1
351,3,3,13063,0.034,0
387,6,0,15195,0.117,0
388,4,0,14561,0.061,0
388,5,0,14364,0.087,0
387,2,0,14596,0.024,0
387,1,0,14301,0.012,0
215,0,20,7827,0.002,0
388,0,0,14110,0.005,0
351,4,3,13063,0.052,0
387,7,0,15195,0.152,1
388,5,0,14561,0.087,0
388,6,0,14364,0.118,0
387,3,0,14596,0.04,0
387,2,0,14301,0.024,0
215,1,20,7827,0.005,0
388,1,0,14110,0.012,0
351,5,3,13063,0.074,0
388,0,0,15276,0.005,0
388,6,0,14561,0.118,0
388,7,0,14364,0.153,1
387,4,0,14596,0.061,0
387,3,0,14301,0.04,0
215,2,20,7827,0.01,0
388,2,0,14110,0.024,0
351,6,3,13063,0.1,0
388,1,0,15276,0.012,0
388,7,0,14561,0.153,1
389,0,0,14411,0.005,0
387,5,0,14596,0.087,0
387,4,0,14301,0.061,0
215,3,20,7827,0.017,0
388,3,0,14110,0.04,0
351,7,3,13063,0.13,1
388,2,0,15276,0.023,0
389,0,0,14605,0.005,0
389,1,0,14411,0.012,0
387,6,0,14596,0.118,0
387,5,0,14301,0.087,0
215,4,20,7827,0.026,0
388,4,0,14110,0.061,0
352,0,3,13097,0.004,0
388,3,0,15276,0.04,0
389,1,0,14605,0.012,0
389,2,0,14411,0.023,0
387,7,0,14596,0.153,1
387,6,0,14301,0.118,0
215,5,20,7827,0.037,0
388,5,0,14110,0.087,0
352,1,3,13097,0.01,0
388,4,0,15276,0.061,0
389,2,0,14605,0.023,0
389,3,0,14411,0.04,0
388,0,0,14623,0.005,0
387,7,0,14301,0.153,1
215,6,20,7827,0.051,0
388,6,0,14110,0.118,1
352,2,3,13097,0.02,0
388,5,0,15276,0.087,0
389,3,0,14605,0.04,0
389,4,0,14411,0.061,0
388,1,0,14623,0.012,0
388,0,0,14364,0.005,0
215,7,20,7827,0.066,0
389,0,0,14134,0.005,0
352,3,3,13097,0.034,0
388,6,0,15276,0.117,1
389,4,0,14605,0.061,0
389,5,0,14411,0.087,0
388,2,0,14623,0.023,0
388,1,0,14364,0.012,0
215,8,20,7827,0.083,0
389,1,0,14134,0.012,0
352,4,3,13097,0.052,0
389,0,0,15334,0.005,0
389,5,0,14605,0.087,0
389,6,0,14411,0.117,1
388,3,0,14623,0.04,0
388,2,0,14364,0.024,0
215,9,20,7827,0.103,0
389,2,0,14134,0.024,0
352,5,3,13097,0.074,0
389,1,0,15334,0.012,0
389,6,0,14605,0.117,0
390,0,0,14432,0.005,0
388,4,0,14623,0.061,0
388,3,0,14364,0.04,0
215,10,20,7827,0.124,1
389,3,0,14134,0.04,0
352,6,3,13097,0.1,0
389,2,0,15334,0.023,0
389,7,0,14605,0.152,1
390,1,0,14432,0.012,0
388,5,0,14623,0.087,0
388,4,0,14364,0.061,0
216,0,20,7864,0.002,0
389,4,0,14134,0.061,0
352,7,3,13097,0.13,1
389,3,0,15334,0.04,0
390,0,0,14676,0.005,0
390,2,0,14432,0.023,0
388,6,0,14623,0.117,0
388,5,0,14364,0.087,0
216,1,20,7864,0.005,0
389,5,0,14134,0.087,0
353,0,3,13168,0.004,0
389,4,0,15334,0.061,0
390,1,0,14676,0.012,0
390,3,0,14432,0.04,0
388,7,0,14623,0.153,1
388,6,0,14364,0.118,0
216,2,20,7864,0.01,0
389,6,0,14134,0.118,0
353,1,3,13168,0.01,0
389,5,0,15334,0.086,0
390,2,0,14676,0.023,0
390,4,0,14432,0.061,0
389,0,0,14687,0.005,0
388,7,0,14364,0.153,1
216,3,20,7864,0.017,0
389,7,0,14134,0.153,1
353,2,3,13168,0.02,0
389,6,0,15334,0.117,0
390,3,0,14676,0.04,0
390,5,0,14432,0.087,0
389,1,0,14687,0.012,0
389,0,0,14442,0.005,0
216,4,20,7864,0.026,0
390,0,0,14165,0.005,0
353,3,3,13168,0.034,0
389,7,0,15334,0.152,1
390,4,0,14676,0.061,0
390,6,0,14432,0.117,0
389,2,0,14687,0.023,0
389,1,0,14442,0.012,0
216,5,20,7864,0.037,0
390,1,0,14165,0.012,0
353,4,3,13168,0.052,0
390,0,0,15375,0.005,0
390,5,0,14676,0.087,0
390,7,0,14432,0.152,1
389,3,0,14687,0.04,0
389,2,0,14442,0.023,0
216,6,20,7864,0.051,0
390,2,0,14165,0.023,0
353,5,3,13168,0.073,0
390,1,0,15375,0.012,0
390,6,0,14676,0.117,1
391,0,0,14470,0.005,0
389,4,0,14687,0.061,0
389,3,0,14442,0.04,0
216,7,20,7864,0.066,0
390,3,0,14165,0.04,0
353,6,3,13168,0.099,1
390,2,0,15375,0.023,0
391,0,0,14707,0.005,0
391,1,0,14470,0.012,0
389,5,0,14687,0.087,0
389,4,0,14442,0.061,0
216,8,20,7864,0.083,0
390,4,0,14165,0.061,0
354,0,3,13220,0.004,0
390,3,0,15375,0.04,0
391,1,0,14707,0.012,0
391,2,0,14470,0.023,0
389,6,0,14687,0.117,1
389,5,0,14442,0.087,0
216,9,20,7864,0.103,0
390,5,0,14165,0.087,0
354,1,3,13220,0.01,0
390,4,0,15375,0.061,0
391,2,0,14707,0.023,0
391,3,0,14470,0.04,0
390,0,0,14725,0.005,0
389,6,0,14442,0.117,0
216,10,20,7864,0.124,1
390,6,0,14165,0.117,0
354,2,3,13220,0.02,0
390,5,0,15375,0.086,0
391,3,0,14707,0.04,0
391,4,0,14470,0.061,0
390,1,0,14725,0.012,0
389,7,0,14442,0.153,1
217,0,20,7895,0.002,0
390,7,0,14165,0.152,1
354,3,3,13220,0.034,0
390,6,0,15375,0.116,0
391,4,0,14707,0.061,0
391,5,0,14470,0.086,0
390,2,0,14725,0.023,0
390,0,0,14497,0.005,0
217,1,20,7895,0.005,0
391,0,0,14234,0.005,0
354,4,3,13220,0.051,0
390,7,0,15375,0.151,1
391,5,0,14707,0.086,0
391,6,0,14470,0.117,0
390,3,0,14725,0.04,0
390,1,0,14497,0.012,0
217,2,20,7895,0.01,0
391,1,0,14234,0.012,0
354,5,3,13220,0.073,0
391,0,0,15411,0.005,0
391,6,0,14707,0.117,0
391,7,0,14470,0.152,1
390,4,0,14725,0.061,0
390,2,0,14497,0.023,0
217,3,20,7895,0.017,0
391,2,0,14234,0.023,0
354,6,3,13220,0.099,0
391,1,0,15411,0.012,0
391,7,0,14707,0.152,1
392,0,0,14520,0.005,0
390,5,0,14725,0.086,0
390,3,0,14497,0.04,0
217,4,20,7895,0.026,0
391,3,0,14234,0.04,0
354,7,3,13220,0.129,1
391,2,0,15411,0.023,0
392,0,0,14761,0.005,0
392,1,0,14520,0.012,0
390,6,0,14725,0.117,0
390,4,0,14497,0.061,0
217,5,20,7895,0.037,0
391,4,0,14234,0.061,0
355,0,3,13249,0.004,0
391,3,0,15411,0.039,0
392,1,0,14761,0.012,0
392,2,0,14520,0.023,0
390,7,0,14725,0.152,1
390,5,0,14497,0.087,0
217,6,20,7895,0.051,0
391,5,0,14234,0.087,0
355,1,3,13249,0.01,0
391,4,0,15411,0.06,0
392,2,0,14761,0.023,0
392,3,0,14520,0.04,0
391,0,0,14753,0.005,0
390,6,0,14497,0.117,1
217,7,20,7895,0.066,0
391,6,0,14234,0.117,1
355,2,3,13249,0.02,0
391,5,0,15411,0.086,0
392,3,0,14761,0.04,0
392,4,0,14520,0.061,0
391,1,0,14753,0.012,0
391,0,0,14520,0.005,0
217,8,20,7895,0.083,0
392,0,0,14275,0.005,0
355,3,3,13249,0.034,0
391,6,0,15411,0.116,1
392,4,0,14761,0.061,0
392,5,0,14520,0.086,0
391,2,0,14753,0.023,0
391,1,0,14520,0.012,0
217,9,20,7895,0.102,0
392,1,0,14275,0.012,0
355,4,3,13249,0.051,0
392,0,0,15480,0.005,0
392,5,0,14761,0.086,0
392,6,0,14520,0.117,0
391,3,0,14753,0.04,0
391,2,0,14520,0.023,0
217,10,20,7895,0.124,1
392,2,0,14275,0.023,0
355,5,3,13249,0.073,0
392,1,0,15480,0.012,0
392,6,0,14761,0.116,0
392,7,0,14520,0.152,1
391,4,0,14753,0.061,0
391,3,0,14520,0.04,0
218,0,20,7949,0.002,0
392,3,0,14275,0.04,0
355,6,3,13249,0.099,0
392,2,0,15480,0.023,0
392,7,0,14761,0.151,1
393,0,0,14554,0.005,0
391,5,0,14753,0.086,0
391,4,0,14520,0.061,0
218,1,20,7949,0.005,0
392,4,0,14275,0.061,0
